# order   xpix          wave       flux    label
2        1117.15     8408.235    16636.3    ArI
2        1097.11     8416.7246   102.065    ThI
2        1078.52     8424.6984   18143.8    ArI
2        1027.60     8446.5018   29.5288    ThI
2        951.605     8478.3729   19.8492    ThI
2        847.863     8521.4339   6543.79    ArI
2        485.866     8667.9439   201.927    ArI
3        1502.95     8521.4339   5847.51    ArI
3        1315.88     8605.7756   79.3823    ArI
3        1283.22     8620.4722   50.5055    ArI
3        1176.46     8667.9439   3366.84    ArI
3        962.505     8761.6404   60.9782    ArI
3        80.3370     9122.9984   799.213    ThI
4        1187.01     8967.6786   63.2594    ThI
4        1009.94     9048.2925   70.4731    ThI
4        842.792     9122.9872   17530.2    ThI
4        609.417     9224.5163   2924.79    ArI
4        300.467     9354.3265   50.9184    ArI
5        1539.74     9122.9971   16043.8    ThI
5        1330.92     9224.5204   14623.0    ArI
5        1058.22     9354.3148   1868.49    ArI
5        384.282     9657.7765   1245.10    ArI
5        82.8772     9784.4954   159.903    ArI
6        1759.08     9354.3148   245.088    ArI
6        1672.40     9399.0946   43.4173    ThI
6        1156.92     9657.7765   4221.63    ArI
6        1069.18     9700.5677   47.9092    ThI
6        975.009     9746.4763   93.2988    ThI
6        895.482     9784.4954   4694.62    ArI
6        792.303     9833.4232   65.3540    ThI
7        1873.54     9657.7765   1489.20    ArI
7        1636.95     9784.4954   2330.33    ArI
7        1122.74     10048.152   178.657    ThI
7        256.184     10470.051   252.248    ArI
8        1360.08     10332.724   103.306    ArI
8        1102.69     10470.054   8430.82    ArI
8        1088.42     10478.034   601.446    ArI
8        1033.41     10506.502   76.1309    ArI
8        989.807     10527.786   39.5392    ThI
8        707.751     10664.230   1249.36    ???
8        691.295     10673.566   175.974    ArI
8        600.988     10712.788   35.7498    ArI
9        1880.11     10470.053   774.480    ArI
9        1866.63     10478.034   65.0296    ArI
9        1528.04     10673.566   2410.28    ArI
9        1513.58     10681.773   306.777    ArI
9        1479.80     10700.986   45.4545    ArI
9        1434.40     10726.926   143.921    ThI
9        1422.07     10733.855   44.4223    ArI
9        1376.63     10759.145   61.7401    ArI
9        1351.94     10773.369   55.7123    ArI
9        1194.96     10861.078   17.2469    ArI
9        1158.71     10880.942   219.171    ArI
9        1137.74     10892.363   35.0173    ArI
9        1031.37     10950.728   230.467    ArI
9        792.700     11078.869   229.440    ArI
9        740.358     11106.450   49.6523    ArI
9        501.101     11230.254   26.9649    ThI
9        73.4598     11441.832   16.1092    ArI





